Time,CH1,CH2
-0.015,-5.92,-0.04
-0.014960474308300395,-5.92,-0.04
-0.01492094861660079,-5.92,-0.04
-0.014881422924901185,-5.92,-0.04
-0.014841897233201581,-5.92,-0.04
-0.014802371541501975,-5.92,-0.04
-0.014762845849802371,-5.92,-0.04
-0.014723320158102767,-5.92,-0.04
-0.014683794466403161,-5.92,-0.04
-0.014644268774703557,-5.92,-0.04
-0.014604743083003953,-5.92,-0.04
-0.014565217391304347,-5.92,-0.04
-0.014525691699604742,-5.92,-0.04
-0.014486166007905138,-5.92,-0.04
-0.014446640316205532,-5.92,-0.04
-0.014407114624505928,-5.92,-0.04
-0.014367588932806324,-5.92,-0.04
-0.014328063241106718,-5.92,-0.04
-0.014288537549407114,-5.92,-0.04
-0.01424901185770751,-5.92,-0.04
-0.014209486166007904,-5.92,-0.04
-0.0141699604743083,-5.92,-0.04
-0.014130434782608696,-5.92,-0.04
-0.01409090909090909,-5.92,-0.04
-0.014051383399209486,-5.92,-0.04
-0.014011857707509881,-5.92,-0.04
-0.013972332015810275,-5.92,-0.04
-0.013932806324110671,-5.92,-0.04
-0.013893280632411067,-5.92,-0.04
-0.013853754940711461,-5.92,-0.04
-0.013814229249011857,-5.92,-0.04
-0.013774703557312253,-5.92,-0.04
-0.013735177865612647,-5.92,-0.04
-0.013695652173913043,-5.92,-0.04
-0.013656126482213439,-5.92,-0.04
-0.013616600790513833,-5.92,-0.08
-0.013577075098814229,-5.92,-0.04
-0.013537549407114624,-5.84,-0.04
-0.013498023715415019,-5.68,-0.04
-0.013458498023715414,-5.52,-0.08
-0.01341897233201581,-5.4,-0.04
-0.013379446640316204,-5.2,-0.04
-0.0133399209486166,-5.04,-0.04
-0.013300395256916996,-4.92,-0.04
-0.01326086956521739,-4.76,-0.04
-0.013221343873517786,-4.56,-0.04
-0.013181818181818182,-4.4,-0.04
-0.013142292490118576,-4.2,-0.04
-0.013102766798418972,-4.04,-0.04
-0.013063241106719367,-3.88,-0.04
-0.013023715415019763,-3.72,0.0
-0.012984189723320157,-3.56,-0.04
-0.012944664031620553,-3.4,-0.04
-0.012905138339920949,-3.2,-0.04
-0.012865612648221343,-3.04,-0.04
-0.012826086956521739,-2.84,-0.04
-0.012786561264822135,-2.68,-0.04
-0.012747035573122529,-2.52,-0.04
-0.012707509881422925,-2.36,-0.04
-0.01266798418972332,-2.2,-0.04
-0.012628458498023715,-2.0,-0.04
-0.01258893280632411,-1.84,-0.04
-0.012549407114624506,-1.68,-0.04
-0.0125098814229249,-1.48,-0.04
-0.012470355731225296,-1.32,-0.04
-0.012430830039525692,-1.08,-0.04
-0.012391304347826086,-0.96,0.0
-0.012351778656126482,-0.8,0.0
-0.012312252964426878,-0.6,0.0
-0.012272727272727272,-0.44,-0.04
-0.012233201581027668,-0.32,0.0
-0.012193675889328064,-0.2,0.0
-0.012154150197628458,-0.08,0.0
-0.012114624505928854,0.0,0.0
-0.01207509881422925,0.08,0.0
-0.012035573122529643,0.08,0.0
-0.01199604743083004,0.16,0.0
-0.011956521739130435,0.2,0.0
-0.01191699604743083,0.24,0.04
-0.011877470355731225,0.28,0.08
-0.011837944664031621,0.32,0.08
-0.011798418972332015,0.36,0.08
-0.01175889328063241,0.4,0.08
-0.011719367588932807,0.4,0.12
-0.0116798418972332,0.44,0.12
-0.011640316205533597,0.44,0.12
-0.011600790513833992,0.48,0.16
-0.011561264822134387,0.48,0.2
-0.011521739130434782,0.52,0.2
-0.011482213438735178,0.52,0.24
-0.011442687747035572,0.56,0.24
-0.011403162055335968,0.56,0.28
-0.011363636363636364,0.56,0.28
-0.011324110671936758,0.56,0.36
-0.011284584980237154,0.6,0.36
-0.01124505928853755,0.6,0.36
-0.011205533596837944,0.64,0.44
-0.01116600790513834,0.6,0.44
-0.011126482213438735,0.64,0.48
-0.01108695652173913,0.64,0.52
-0.011047430830039525,0.68,0.52
-0.011007905138339921,0.64,0.56
-0.010968379446640315,0.68,0.6
-0.010928853754940711,0.68,0.64
-0.010889328063241107,0.68,0.64
-0.010849802371541501,0.68,0.68
-0.010810276679841897,0.68,0.72
-0.010770750988142293,0.68,0.76
-0.010731225296442687,0.72,0.8
-0.010691699604743083,0.72,0.84
-0.010652173913043479,0.72,0.84
-0.010612648221343873,0.72,0.88
-0.010573122529644268,0.72,0.92
-0.010533596837944664,0.72,0.96
-0.010494071146245058,0.72,1.0
-0.010454545454545454,0.76,1.0
-0.01041501976284585,0.76,1.04
-0.010375494071146244,0.76,1.08
-0.01033596837944664,0.72,1.12
-0.010296442687747036,0.76,1.16
-0.01025691699604743,0.76,1.2
-0.010217391304347826,0.76,1.24
-0.010177865612648222,0.76,1.24
-0.010138339920948616,0.76,1.28
-0.010098814229249011,0.76,1.32
-0.010059288537549407,0.76,1.36
-0.010019762845849801,0.76,1.4
-0.009980237154150197,0.76,1.44
-0.009940711462450593,0.8,1.44
-0.009901185770750987,0.76,1.48
-0.009861660079051383,0.8,1.52
-0.009822134387351779,0.8,1.56
-0.009782608695652173,0.8,1.6
-0.009743083003952569,0.8,1.64
-0.009703557312252965,0.8,1.64
-0.009664031620553359,0.8,1.68
-0.009624505928853755,0.8,1.72
-0.00958498023715415,0.8,1.76
-0.009545454545454544,0.8,1.8
-0.00950592885375494,0.84,1.84
-0.009466403162055336,0.8,1.88
-0.00942687747035573,0.84,1.92
-0.009387351778656126,0.84,1.92
-0.009347826086956522,0.84,1.96
-0.009308300395256916,0.84,2.0
-0.009268774703557312,0.84,2.04
-0.009229249011857708,0.84,2.04
-0.009189723320158102,0.84,2.08
-0.009150197628458498,0.84,2.12
-0.009110671936758893,0.88,2.16
-0.009071146245059288,0.84,2.16
-0.009031620553359683,0.84,2.2
-0.00899209486166008,0.88,2.24
-0.008952569169960473,0.84,2.28
-0.008913043478260869,0.88,2.28
-0.008873517786561265,0.84,2.36
-0.008833992094861659,0.88,2.4
-0.008794466403162055,0.84,2.4
-0.00875494071146245,0.88,2.44
-0.008715415019762845,0.88,2.44
-0.00867588932806324,0.88,2.48
-0.008636363636363636,0.88,2.52
-0.00859683794466403,0.88,2.56
-0.008557312252964426,0.88,2.56
-0.008517786561264822,0.88,2.6
-0.008478260869565216,0.88,2.64
-0.008438735177865612,0.88,2.68
-0.008399209486166008,0.88,2.68
-0.008359683794466402,0.88,2.72
-0.008320158102766798,0.88,2.76
-0.008280632411067194,0.88,2.76
-0.008241106719367588,0.88,2.8
-0.008201581027667984,0.92,2.84
-0.00816205533596838,0.88,2.84
-0.008122529644268774,0.92,2.84
-0.00808300395256917,0.88,2.92
-0.008043478260869565,0.88,2.92
-0.00800395256916996,0.92,2.96
-0.007964426877470355,0.92,2.96
-0.007924901185770751,0.92,3.0
-0.007885375494071145,0.88,3.04
-0.007845849802371541,0.88,3.04
-0.007806324110671936,0.88,3.08
-0.007766798418972331,0.88,3.08
-0.007727272727272727,0.92,3.12
-0.007687747035573122,0.92,3.12
-0.007648221343873517,0.92,3.16
-0.0076086956521739125,0.92,3.16
-0.0075691699604743075,0.92,3.2
-0.007529644268774702,0.92,3.2
-0.007490118577075098,0.92,3.24
-0.007450592885375493,0.92,3.24
-0.007411067193675888,0.92,3.28
-0.007371541501976284,0.92,3.28
-0.007332015810276679,0.92,3.32
-0.007292490118577075,0.92,3.32
-0.00725296442687747,0.92,3.32
-0.007213438735177865,0.92,3.36
-0.00717391304347826,0.92,3.36
-0.0071343873517786555,0.92,3.4
-0.007094861660079051,0.92,3.4
-0.0070553359683794455,0.92,3.44
-0.007015810276679841,0.92,3.44
-0.006976284584980237,0.96,3.48
-0.006936758893280631,0.92,3.48
-0.006897233201581027,0.92,3.48
-0.006857707509881423,0.92,3.48
-0.006818181818181817,0.92,3.52
-0.006778656126482213,0.96,3.52
-0.006739130434782609,0.92,3.56
-0.006699604743083003,0.92,3.56
-0.006660079051383399,0.96,3.56
-0.006620553359683794,0.96,3.56
-0.0065810276679841885,0.96,3.6
-0.006541501976284584,0.96,3.6
-0.00650197628458498,0.92,3.6
-0.006462450592885374,0.92,3.6
-0.00642292490118577,0.92,3.6
-0.006383399209486166,0.96,3.64
-0.00634387351778656,0.96,3.64
-0.006304347826086956,0.96,3.64
-0.006264822134387352,0.96,3.64
-0.006225296442687746,0.92,3.68
-0.006185770750988142,0.92,3.64
-0.0061462450592885375,0.92,3.68
-0.0061067193675889316,0.96,3.68
-0.006067193675889327,0.96,3.68
-0.006027667984189723,0.96,3.68
-0.005988142292490117,0.96,3.68
-0.005948616600790513,0.92,3.68
-0.005909090909090909,0.96,3.68
-0.005869565217391303,0.92,3.68
-0.005830039525691699,0.92,3.72
-0.005790513833992095,0.92,3.68
-0.005750988142292489,0.96,3.68
-0.005711462450592885,0.96,3.68
-0.0056719367588932805,0.96,3.68
-0.005632411067193675,0.96,3.72
-0.00559288537549407,0.92,3.72
-0.005553359683794466,0.92,3.68
-0.00551383399209486,0.92,3.68
-0.005474308300395256,0.92,3.68
-0.005434782608695652,0.92,3.68
-0.005395256916996046,0.92,3.68
-0.005355731225296442,0.92,3.68
-0.005316205533596838,0.92,3.68
-0.005276679841897232,0.92,3.68
-0.005237154150197628,0.92,3.68
-0.0051976284584980235,0.92,3.68
-0.005158102766798418,0.92,3.64
-0.0051185770750988135,0.96,3.64
-0.005079051383399209,0.92,3.64
-0.005039525691699603,0.92,3.64
-0.004999999999999999,0.92,3.6
-0.004960474308300395,0.92,3.64
-0.004920948616600789,0.96,3.6
-0.004881422924901185,0.92,3.6
