Time,CH1,CH2
-0.015,4.16,0.36
-0.014960474308300395,4.16,0.36
-0.01492094861660079,4.28,0.36
-0.014881422924901185,4.28,0.4
-0.014841897233201581,4.28,0.4
-0.014802371541501975,4.28,0.4
-0.014762845849802371,4.28,0.4
-0.014723320158102767,4.28,0.4
-0.014683794466403161,4.28,0.44
-0.014644268774703557,4.28,0.44
-0.014604743083003953,4.28,0.44
-0.014565217391304347,4.28,0.44
-0.014525691699604742,4.28,0.44
-0.014486166007905138,4.28,0.48
-0.014446640316205532,4.28,0.48
-0.014407114624505928,4.28,0.48
-0.014367588932806324,4.28,0.48
-0.014328063241106718,4.28,0.48
-0.014288537549407114,4.28,0.52
-0.01424901185770751,4.28,0.52
-0.014209486166007904,4.28,0.52
-0.0141699604743083,4.28,0.52
-0.014130434782608696,4.28,0.52
-0.01409090909090909,4.28,0.56
-0.014051383399209486,4.28,0.52
-0.014011857707509881,4.28,0.56
-0.013972332015810275,4.28,0.56
-0.013932806324110671,4.28,0.56
-0.013893280632411067,4.28,0.56
-0.013853754940711461,4.28,0.56
-0.013814229249011857,4.28,0.56
-0.013774703557312253,4.28,0.6
-0.013735177865612647,4.28,0.6
-0.013695652173913043,4.28,0.6
-0.013656126482213439,4.28,0.6
-0.013616600790513833,4.28,0.6
-0.013577075098814229,4.28,0.6
-0.013537549407114624,4.28,0.6
-0.013498023715415019,4.28,0.6
-0.013458498023715414,4.28,0.6
-0.01341897233201581,4.28,0.68
-0.013379446640316204,4.28,0.6
-0.0133399209486166,4.28,0.6
-0.013300395256916996,4.28,0.64
-0.01326086956521739,4.28,0.64
-0.013221343873517786,4.28,0.64
-0.013181818181818182,4.28,0.64
-0.013142292490118576,4.28,0.64
-0.013102766798418972,4.28,0.64
-0.013063241106719367,4.28,0.64
-0.013023715415019763,4.28,0.6
-0.012984189723320157,4.28,0.64
-0.012944664031620553,4.28,0.64
-0.012905138339920949,4.28,0.64
-0.012865612648221343,4.28,0.64
-0.012826086956521739,4.28,0.64
-0.012786561264822135,4.28,0.64
-0.012747035573122529,4.28,0.64
-0.012707509881422925,4.28,0.64
-0.01266798418972332,4.28,0.64
-0.012628458498023715,4.28,0.64
-0.01258893280632411,4.28,0.64
-0.012549407114624506,4.28,0.6
-0.0125098814229249,4.28,0.64
-0.012470355731225296,4.28,0.6
-0.012430830039525692,4.28,0.6
-0.012391304347826086,4.28,0.6
-0.012351778656126482,4.28,0.6
