Time,CH1,CH2
-0.00375,1.72,0.28
-0.003740118577075099,1.72,0.28
-0.0037302371541501973,1.72,0.28
-0.0037203557312252963,1.72,0.28
-0.0037104743083003953,1.68,0.28
-0.003700592885375494,1.72,0.28
-0.0036907114624505927,1.72,0.28
-0.0036808300395256917,1.72,0.32
-0.0036709486166007902,1.72,0.28
-0.003661067193675889,1.72,0.32
-0.003651185770750988,1.72,0.32
-0.0036413043478260867,1.72,0.32
-0.0036314229249011856,1.72,0.32
-0.0036215415019762846,1.76,0.36
-0.003611660079051383,1.76,0.32
-0.003601778656126482,1.72,0.36
-0.003591897233201581,1.76,0.4
-0.0035820158102766795,1.76,0.36
-0.0035721343873517785,1.76,0.4
-0.0035622529644268775,1.76,0.36
-0.003552371541501976,1.76,0.4
-0.003542490118577075,1.76,0.4
-0.003532608695652174,1.76,0.4
-0.0035227272727272724,1.8,0.4
-0.0035128458498023714,1.8,0.44
-0.0035029644268774703,1.76,0.44
-0.003493083003952569,1.8,0.44
-0.003483201581027668,1.76,0.44
-0.0034733201581027668,1.76,0.48
-0.0034634387351778653,1.8,0.44
-0.0034535573122529643,1.8,0.48
-0.0034436758893280632,1.8,0.48
-0.0034337944664031617,1.8,0.48
-0.0034239130434782607,1.8,0.52
-0.0034140316205533597,1.8,0.52
-0.003404150197628458,1.8,0.52
-0.003394268774703557,1.84,0.52
-0.003384387351778656,1.8,0.56
-0.0033745059288537546,1.8,0.56
-0.0033646245059288536,1.8,0.56
-0.0033547430830039525,1.8,0.6
-0.003344861660079051,1.84,0.6
-0.00333498023715415,1.8,0.6
-0.003325098814229249,1.84,0.64
-0.0033152173913043475,1.84,0.64
-0.0033053359683794465,1.84,0.64
-0.0032954545454545454,1.84,0.68
-0.003285573122529644,1.84,0.68
-0.003275691699604743,1.84,0.68
-0.003265810276679842,1.84,0.68
-0.003255928853754941,1.84,0.68
-0.0032460474308300393,1.84,0.72
-0.0032361660079051383,1.84,0.72
-0.0032262845849802373,1.84,0.76
-0.003216403162055336,1.84,0.76
-0.0032065217391304347,1.88,0.8
-0.0031966403162055337,1.84,0.8
-0.0031867588932806322,1.84,0.8
-0.003176877470355731,1.84,0.8
