Time,CH1,CH2
-1.4999999999999999e-05,1.4,8.8
-1.4960474308300393e-05,1.4,8.8
-1.492094861660079e-05,1.4,8.8
-1.4881422924901184e-05,1.4,9.0
-1.484189723320158e-05,1.4,8.8
-1.4802371541501975e-05,0.08,1.0
-1.476284584980237e-05,-1.32,-7.6
-1.4723320158102765e-05,-1.24,-7.6
-1.4683794466403161e-05,-1.52,-8.8
-1.4644268774703556e-05,-1.44,-8.6
-1.4604743083003952e-05,-1.44,-8.4
-1.4565217391304347e-05,-1.44,-8.6
-1.4525691699604741e-05,-1.44,-8.6
-1.4486166007905137e-05,-1.4,-8.6
-1.4446640316205532e-05,-1.44,-8.6
-1.4407114624505928e-05,-1.4,-8.6
-1.4367588932806322e-05,-1.4,-8.6
-1.4328063241106719e-05,-1.44,-8.6
-1.4288537549407113e-05,-1.4,-8.6
-1.424901185770751e-05,-1.44,-8.6
-1.4209486166007904e-05,-1.44,-8.6
-1.4169960474308298e-05,-1.44,-8.6
-1.4130434782608694e-05,-1.44,-8.6
-1.4090909090909089e-05,-1.4,-8.6
-1.4051383399209485e-05,-1.4,-8.6
-1.401185770750988e-05,-1.4,-8.6
-1.3972332015810276e-05,-1.4,-8.6
-1.393280632411067e-05,-1.4,-8.6
-1.3893280632411066e-05,-1.4,-8.6
-1.3853754940711461e-05,-1.44,-8.6
-1.3814229249011857e-05,-1.4,-8.6
-1.3774703557312252e-05,-1.4,-8.6
-1.3735177865612646e-05,-1.4,-8.6
-1.3695652173913042e-05,-1.4,-8.6
-1.3656126482213437e-05,-1.44,-8.6
-1.3616600790513833e-05,-1.4,-8.6
-1.3577075098814227e-05,-1.4,-8.6
-1.3537549407114624e-05,-1.4,-8.6
-1.3498023715415018e-05,-1.44,-8.6
-1.3458498023715414e-05,-1.4,-8.6
-1.3418972332015809e-05,-1.44,-8.6
-1.3379446640316205e-05,-1.4,-8.6
-1.33399209486166e-05,-1.44,-8.6
-1.3300395256916994e-05,-1.4,-8.6
-1.326086956521739e-05,-1.44,-8.6
-1.3221343873517785e-05,-1.44,-8.6
-1.318181818181818e-05,-1.44,-8.6
-1.3142292490118575e-05,-1.44,-8.6
-1.3102766798418971e-05,-1.44,-8.6
-1.3063241106719366e-05,-1.44,-8.8
-1.3023715415019762e-05,-1.44,-8.6
-1.2984189723320157e-05,-1.4,-8.6
-1.2944664031620553e-05,-1.44,-8.6
-1.2905138339920947e-05,-1.44,-8.6
-1.2865612648221342e-05,-1.44,-8.6
-1.2826086956521738e-05,-1.44,-8.8
-1.2786561264822134e-05,-1.44,-8.6
-1.2747035573122529e-05,-1.44,-8.8
-1.2707509881422923e-05,-1.44,-8.8
-1.266798418972332e-05,-1.44,-8.8
-1.2628458498023714e-05,-1.44,-8.6
