Time,CH1,CH2
-0.00375,1.44,9.2
-0.003740118577075099,1.44,9.2
-0.0037302371541501973,1.44,9.2
-0.0037203557312252963,1.4,9.0
-0.0037104743083003953,1.36,8.8
-0.003700592885375494,1.32,8.6
-0.0036907114624505927,1.28,8.4
-0.0036808300395256917,1.24,8.0
-0.0036709486166007902,1.2,7.8
-0.003661067193675889,1.16,7.4
-0.003651185770750988,1.08,7.0
-0.0036413043478260867,1.04,6.6
-0.0036314229249011856,0.96,6.2
-0.0036215415019762846,0.88,5.8
-0.003611660079051383,0.8,5.4
-0.003601778656126482,0.72,4.8
-0.003591897233201581,0.64,4.4
-0.0035820158102766795,0.56,3.8
-0.0035721343873517785,0.48,3.2
-0.0035622529644268775,0.4,2.6
-0.003552371541501976,0.32,2.0
-0.003542490118577075,0.2,1.6
-0.003532608695652174,0.12,1.0
-0.0035227272727272724,0.04,0.4
-0.0035128458498023714,-0.04,-0.2
-0.0035029644268774703,-0.16,-0.8
-0.003493083003952569,-0.24,-1.2
-0.003483201581027668,-0.32,-1.8
-0.0034733201581027668,-0.44,-2.4
-0.0034634387351778653,-0.52,-3.0
-0.0034535573122529643,-0.6,-3.4
-0.0034436758893280632,-0.68,-4.0
-0.0034337944664031617,-0.76,-4.4
-0.0034239130434782607,-0.84,-5.0
-0.0034140316205533597,-0.92,-5.6
-0.003404150197628458,-1.0,-6.0
-0.003394268774703557,-1.04,-6.2
-0.003384387351778656,-1.12,-6.8
-0.0033745059288537546,-1.2,-7.2
-0.0033646245059288536,-1.28,-7.4
-0.0033547430830039525,-1.32,-7.8
-0.003344861660079051,-1.36,-8.2
-0.00333498023715415,-1.4,-8.4
-0.003325098814229249,-1.44,-8.6
-0.0033152173913043475,-1.48,-8.8
-0.0033053359683794465,-1.48,-9.0
-0.0032954545454545454,-1.52,-9.0
-0.003285573122529644,-1.52,-9.0
-0.003275691699604743,-1.56,-9.2
-0.003265810276679842,-1.56,-9.2
-0.003255928853754941,-1.52,-9.0
-0.0032460474308300393,-1.52,-9.0
-0.0032361660079051383,-1.52,-9.0
-0.0032262845849802373,-1.48,-8.8
-0.003216403162055336,-1.44,-8.6
-0.0032065217391304347,-1.4,-8.4
-0.0031966403162055337,-1.36,-8.0
-0.0031867588932806322,-1.32,-7.8
-0.003176877470355731,-1.28,-7.4
-0.00316699604743083,-1.24,-7.2
-0.0031571146245059287,-1.16,-6.8
-0.0031472332015810276,-1.12,-6.4
-0.0031373517786561266,-1.04,-6.0
-0.003127470355731225,-0.96,-5.6
-0.003117588932806324,-0.88,-5.0
-0.003107707509881423,-0.8,-4.6
-0.0030978260869565215,-0.72,-4.0
-0.0030879446640316205,-0.64,-3.6
-0.0030780632411067195,-0.56,-3.0
-0.003068181818181818,-0.48,-2.6
-0.003058300395256917,-0.36,-2.0
-0.003048418972332016,-0.28,-1.4
-0.0030385375494071144,-0.2,-0.8
-0.0030286561264822134,-0.08,-0.2
-0.0030187747035573123,0.0,0.4
-0.003008893280632411,0.12,0.8
-0.00299901185770751,0.2,1.4
-0.002989130434782609,0.28,2.0
-0.0029792490118577073,0.36,2.6
-0.0029693675889328063,0.44,3.2
-0.0029594861660079052,0.52,3.6
-0.0029496047430830038,0.64,4.2
-0.0029397233201581027,0.68,4.8
-0.0029298418972332017,0.8,5.2
-0.0029199604743083,0.84,5.6
-0.002910079051383399,0.92,6.2
-0.002900197628458498,1.0,6.6
-0.0028903162055335966,1.08,7.0
-0.0028804347826086956,1.12,7.4
-0.0028705533596837945,1.2,7.8
-0.002860671936758893,1.24,8.0
-0.002850790513833992,1.28,8.4
-0.002840909090909091,1.32,8.6
-0.0028310276679841895,1.36,8.8
-0.0028211462450592885,1.4,9.0
-0.0028112648221343874,1.4,9.2
-0.002801383399209486,1.44,9.4
-0.002791501976284585,1.44,9.4
-0.002781620553359684,1.44,9.4
-0.0027717391304347824,1.44,9.4
-0.0027618577075098814,1.44,9.4
-0.0027519762845849803,1.44,9.4
-0.002742094861660079,1.4,9.2
-0.002732213438735178,1.4,9.0
-0.0027223320158102767,1.36,8.8
-0.0027124505928853753,1.36,8.6
-0.0027025691699604742,1.28,8.4
-0.002692687747035573,1.28,8.2
-0.0026828063241106717,1.2,7.6
-0.0026729249011857707,1.16,7.4
-0.0026630434782608696,1.08,7.0
-0.002653162055335968,1.0,6.6
-0.002643280632411067,0.96,6.2
-0.002633399209486166,0.88,5.8
-0.0026235177865612646,0.8,5.2
-0.0026136363636363636,0.76,4.8
-0.0026037549407114625,0.64,4.4
-0.002593873517786561,0.56,3.8
-0.00258399209486166,0.48,3.2
-0.002574110671936759,0.4,2.8
-0.0025642292490118575,0.32,2.0
-0.0025543478260869564,0.2,1.6
-0.0025444664031620554,0.12,1.0
-0.002534584980237154,0.04,0.4
-0.002524703557312253,-0.04,-0.2
-0.002514822134387352,-0.16,-0.8
-0.0025049407114624504,-0.24,-1.2
-0.0024950592885375493,-0.32,-1.8
-0.0024851778656126483,-0.4,-2.4
-0.002475296442687747,-0.52,-3.0
-0.0024654150197628458,-0.6,-3.4
-0.0024555335968379447,-0.68,-4.0
-0.0024456521739130432,-0.76,-4.6
-0.002435770750988142,-0.84,-5.0
-0.002425889328063241,-0.92,-5.6
-0.0024160079051383397,-1.04,-5.8
-0.0024061264822134386,-1.08,-6.4
-0.0023962450592885376,-1.16,-6.8
-0.002386363636363636,-1.2,-7.2
-0.002376482213438735,-1.24,-7.6
-0.002366600790513834,-1.32,-7.8
-0.0023567193675889326,-1.36,-8.2
-0.0023468379446640315,-1.4,-8.4
-0.0023369565217391305,-1.44,-8.6
-0.002327075098814229,-1.48,-8.6
-0.002317193675889328,-1.52,-8.8
-0.002307312252964427,-1.52,-9.0
-0.0022974308300395254,-1.56,-9.0
-0.0022875494071146244,-1.56,-9.2
-0.0022776679841897234,-1.56,-9.2
-0.002267786561264822,-1.52,-9.2
-0.002257905138339921,-1.52,-9.2
-0.00224802371541502,-1.52,-9.0
-0.0022381422924901183,-1.48,-8.8
-0.0022282608695652173,-1.48,-8.6
-0.0022183794466403162,-1.44,-8.4
-0.0022084980237154148,-1.36,-8.2
-0.0021986166007905137,-1.32,-7.8
-0.0021887351778656127,-1.28,-7.4
-0.002178853754940711,-1.24,-7.2
-0.00216897233201581,-1.16,-6.8
-0.002159090909090909,-1.12,-6.4
-0.0021492094861660076,-1.04,-6.0
-0.0021393280632411066,-0.96,-5.6
-0.0021294466403162056,-0.88,-5.0
-0.002119565217391304,-0.8,-4.6
