Time,CH1,CH2
-0.00375,10.4,5.4
-0.003740118577075099,10.4,5.4
-0.0037302371541501973,10.4,5.4
-0.0037203557312252963,10.4,5.4
-0.0037104743083003953,10.4,5.4
-0.003700592885375494,10.4,5.4
-0.0036907114624505927,10.4,5.4
-0.0036808300395256917,10.4,5.4
-0.0036709486166007902,10.4,5.2
-0.003661067193675889,10.4,5.2
-0.003651185770750988,10.4,5.0
-0.0036413043478260867,10.4,5.0
-0.0036314229249011856,10.4,4.8
-0.0036215415019762846,10.4,4.6
-0.003611660079051383,10.4,4.4
-0.003601778656126482,10.4,4.2
-0.003591897233201581,10.4,4.0
-0.0035820158102766795,10.4,3.8
-0.0035721343873517785,10.0,3.4
-0.0035622529644268775,9.2,3.2
-0.003552371541501976,8.6,3.0
-0.003542490118577075,7.6,2.6
-0.003532608695652174,6.8,2.2
-0.0035227272727272724,5.8,2.0
-0.0035128458498023714,5.0,1.8
-0.0035029644268774703,4.0,1.4
-0.003493083003952569,3.0,1.0
-0.003483201581027668,2.0,0.6
-0.0034733201581027668,1.0,0.4
-0.0034634387351778653,0.0,0.0
-0.0034535573122529643,-1.0,-0.4
-0.0034436758893280632,-2.2,-0.6
-0.0034337944664031617,-3.2,-1.0
-0.0034239130434782607,-4.0,-1.4
-0.0034140316205533597,-5.0,-1.8
-0.003404150197628458,-6.0,-2.0
-0.003394268774703557,-6.8,-2.4
-0.003384387351778656,-7.8,-2.6
-0.0033745059288537546,-8.6,-3.0
-0.0033646245059288536,-9.6,-3.2
-0.0033547430830039525,-10.2,-3.4
-0.003344861660079051,-10.8,-3.8
-0.00333498023715415,-11.0,-4.0
-0.003325098814229249,-11.0,-4.2
-0.0033152173913043475,-11.0,-4.4
-0.0033053359683794465,-10.8,-4.6
-0.0032954545454545454,-10.8,-4.8
-0.003285573122529644,-10.8,-5.0
-0.003275691699604743,-11.0,-5.0
-0.003265810276679842,-10.8,-5.2
-0.003255928853754941,-10.8,-5.4
-0.0032460474308300393,-10.8,-5.4
-0.0032361660079051383,-10.8,-5.4
-0.0032262845849802373,-11.0,-5.4
-0.003216403162055336,-10.8,-5.4
-0.0032065217391304347,-10.8,-5.4
-0.0031966403162055337,-11.0,-5.4
-0.0031867588932806322,-10.8,-5.4
-0.003176877470355731,-10.8,-5.2
-0.00316699604743083,-11.0,-5.2
-0.0031571146245059287,-10.8,-5.0
-0.0031472332015810276,-10.8,-5.0
-0.0031373517786561266,-11.0,-4.8
-0.003127470355731225,-11.0,-4.6
-0.003117588932806324,-11.0,-4.4
-0.003107707509881423,-11.0,-4.2
-0.0030978260869565215,-10.8,-4.0
-0.0030879446640316205,-10.8,-3.8
-0.0030780632411067195,-10.8,-3.4
-0.003068181818181818,-9.6,-3.2
-0.003058300395256917,-8.8,-2.8
-0.003048418972332016,-7.8,-2.6
-0.0030385375494071144,-7.0,-2.2
-0.0030286561264822134,-6.2,-2.0
-0.0030187747035573123,-5.2,-1.6
-0.003008893280632411,-4.2,-1.2
-0.00299901185770751,-3.2,-1.0
-0.002989130434782609,-2.2,-0.6
-0.0029792490118577073,-1.2,-0.2
-0.0029693675889328063,-0.6,0.0
-0.0029594861660079052,0.8,0.4
-0.0029496047430830038,1.8,0.8
-0.0029397233201581027,2.8,1.0
-0.0029298418972332017,3.8,1.4
-0.0029199604743083,4.8,1.8
-0.002910079051383399,5.8,2.2
-0.002900197628458498,6.6,2.4
-0.0028903162055335966,7.4,2.6
-0.0028804347826086956,8.4,3.0
-0.0028705533596837945,9.2,3.4
-0.002860671936758893,10.0,3.6
-0.002850790513833992,10.4,3.8
-0.002840909090909091,10.4,4.0
-0.0028310276679841895,10.4,4.2
-0.0028211462450592885,10.4,4.4
-0.0028112648221343874,10.4,4.6
-0.002801383399209486,10.4,4.8
-0.002791501976284585,10.4,5.0
-0.002781620553359684,10.4,5.2
-0.0027717391304347824,10.4,5.2
-0.0027618577075098814,10.4,5.2
-0.0027519762845849803,10.4,5.4
-0.002742094861660079,10.4,5.4
-0.002732213438735178,10.4,5.4
-0.0027223320158102767,10.4,5.4
-0.0027124505928853753,10.4,5.4
-0.0027025691699604742,10.4,5.4
-0.002692687747035573,10.4,5.4
-0.0026828063241106717,10.4,5.2
-0.0026729249011857707,10.4,5.2
-0.0026630434782608696,10.4,5.0
-0.002653162055335968,10.4,5.0
-0.002643280632411067,10.4,4.8
-0.002633399209486166,10.4,4.6
-0.0026235177865612646,10.4,4.4
-0.0026136363636363636,10.4,4.2
-0.0026037549407114625,10.4,4.0
-0.002593873517786561,10.4,3.8
-0.00258399209486166,10.0,3.6
-0.002574110671936759,9.4,3.4
-0.0025642292490118575,8.6,3.0
-0.0025543478260869564,7.8,2.6
-0.0025444664031620554,6.8,2.4
-0.002534584980237154,5.8,2.0
-0.002524703557312253,5.0,1.8
-0.002514822134387352,4.0,1.4
-0.0025049407114624504,2.8,1.0
-0.0024950592885375493,2.0,0.8
-0.0024851778656126483,1.0,0.4
-0.002475296442687747,-0.2,0.0
-0.0024654150197628458,-1.0,-0.4
-0.0024555335968379447,-2.0,-0.6
-0.0024456521739130432,-3.2,-1.0
-0.002435770750988142,-4.2,-1.2
-0.002425889328063241,-5.0,-1.8
-0.0024160079051383397,-6.0,-2.0
-0.0024061264822134386,-6.8,-2.4
-0.0023962450592885376,-7.8,-2.6
-0.002386363636363636,-8.6,-2.8
-0.002376482213438735,-9.6,-3.2
-0.002366600790513834,-10.2,-3.4
-0.0023567193675889326,-10.8,-3.8
-0.0023468379446640315,-11.0,-4.0
-0.0023369565217391305,-11.0,-4.2
-0.002327075098814229,-10.8,-4.4
-0.002317193675889328,-11.0,-4.6
-0.002307312252964427,-10.8,-4.8
-0.0022974308300395254,-11.0,-5.0
-0.0022875494071146244,-11.0,-5.0
-0.0022776679841897234,-11.0,-5.2
-0.002267786561264822,-10.8,-5.2
-0.002257905138339921,-11.0,-5.4
-0.00224802371541502,-10.8,-5.4
-0.0022381422924901183,-10.8,-5.4
-0.0022282608695652173,-11.0,-5.4
-0.0022183794466403162,-10.8,-5.4
-0.0022084980237154148,-10.8,-5.4
-0.0021986166007905137,-11.0,-5.4
-0.0021887351778656127,-10.8,-5.2
-0.002178853754940711,-11.0,-5.2
-0.00216897233201581,-10.8,-5.0
-0.002159090909090909,-11.0,-5.0
-0.0021492094861660076,-11.0,-4.8
-0.0021393280632411066,-10.8,-4.6
-0.0021294466403162056,-10.8,-4.4
-0.002119565217391304,-10.8,-4.0
-0.002109683794466403,-10.8,-4.0
-0.002099802371541502,-11.0,-3.6
-0.0020899209486166005,-10.8,-3.4
-0.0020800395256916995,-9.6,-3.2
-0.0020701581027667984,-8.8,-2.8
-0.002060276679841897,-8.0,-2.6
-0.002050395256916996,-7.0,-2.2
-0.002040513833992095,-6.0,-2.0
-0.0020306324110671934,-5.2,-1.6
-0.0020207509881422924,-4.2,-1.2
-0.0020108695652173913,-3.2,-1.0
-0.00200098814229249,-2.2,-0.6
-0.001991106719367589,-1.2,-0.2
-0.0019812252964426878,-0.4,0.2
-0.0019713438735177863,0.8,0.4
-0.0019614624505928852,1.8,0.8
-0.001951581027667984,2.8,1.2
-0.0019416996047430827,3.8,1.4
