Time,CH1,CH2
-0.00375,8.72,2.96
-0.003740118577075099,8.72,2.96
-0.0037302371541501973,8.72,2.96
-0.0037203557312252963,8.8,2.96
-0.0037104743083003953,8.72,2.96
-0.003700592885375494,8.72,2.96
-0.0036907114624505927,8.56,2.88
-0.0036808300395256917,8.4,2.88
-0.0036709486166007902,8.16,2.8
-0.003661067193675889,8.0,2.72
-0.003651185770750988,7.76,2.64
-0.0036413043478260867,7.52,2.56
-0.0036314229249011856,7.2,2.48
-0.0036215415019762846,6.88,2.32
-0.003611660079051383,6.56,2.24
-0.003601778656126482,6.16,2.08
-0.003591897233201581,5.76,1.92
-0.0035820158102766795,5.28,1.76
-0.0035721343873517785,4.88,1.6
-0.0035622529644268775,4.4,1.52
-0.003552371541501976,3.92,1.36
-0.003542490118577075,3.44,1.12
-0.003532608695652174,2.88,0.96
-0.0035227272727272724,2.4,0.8
-0.0035128458498023714,1.84,0.64
-0.0035029644268774703,1.28,0.48
-0.003493083003952569,0.72,0.24
-0.003483201581027668,0.16,0.0
-0.0034733201581027668,-0.32,-0.16
-0.0034634387351778653,-0.88,-0.4
-0.0034535573122529643,-1.52,-0.48
-0.0034436758893280632,-2.0,-0.72
-0.0034337944664031617,-2.56,-0.88
-0.0034239130434782607,-3.12,-1.04
-0.0034140316205533597,-3.6,-1.28
-0.003404150197628458,-4.16,-1.44
-0.003394268774703557,-4.56,-1.6
-0.003384387351778656,-5.04,-1.76
-0.0033745059288537546,-5.52,-1.92
-0.0033646245059288536,-5.92,-2.0
-0.0033547430830039525,-6.32,-2.16
-0.003344861660079051,-6.72,-2.32
-0.00333498023715415,-7.12,-2.4
-0.003325098814229249,-7.44,-2.56
-0.0033152173913043475,-7.76,-2.64
-0.0033053359683794465,-7.92,-2.72
-0.0032954545454545454,-8.24,-2.8
-0.003285573122529644,-8.4,-2.88
-0.003275691699604743,-8.64,-2.96
-0.003265810276679842,-8.72,-3.04
-0.003255928853754941,-8.8,-3.04
-0.0032460474308300393,-8.88,-3.04
-0.0032361660079051383,-8.96,-3.04
-0.0032262845849802373,-8.96,-3.04
-0.003216403162055336,-8.88,-3.04
-0.0032065217391304347,-8.88,-3.04
-0.0031966403162055337,-8.72,-3.04
-0.0031867588932806322,-8.56,-2.88
-0.003176877470355731,-8.4,-2.88
-0.00316699604743083,-8.16,-2.8
-0.0031571146245059287,-8.0,-2.72
-0.0031472332015810276,-7.68,-2.64
-0.0031373517786561266,-7.36,-2.48
-0.003127470355731225,-7.04,-2.4
-0.003117588932806324,-6.72,-2.24
-0.003107707509881423,-6.32,-2.16
-0.0030978260869565215,-5.92,-2.0
-0.0030879446640316205,-5.52,-1.84
-0.0030780632411067195,-5.04,-1.68
-0.003068181818181818,-4.48,-1.52
-0.003058300395256917,-4.08,-1.36
-0.003048418972332016,-3.6,-1.2
-0.0030385375494071144,-3.04,-1.04
-0.0030286561264822134,-2.56,-0.8
-0.0030187747035573123,-2.0,-0.64
-0.003008893280632411,-1.44,-0.4
-0.00299901185770751,-0.88,-0.24
-0.002989130434782609,-0.56,-0.08
-0.0029792490118577073,0.24,0.16
-0.0029693675889328063,0.8,0.32
-0.0029594861660079052,1.36,0.48
-0.0029496047430830038,1.92,0.64
-0.0029397233201581027,2.4,0.8
-0.0029298418972332017,2.96,1.04
-0.0029199604743083,3.44,1.2
-0.002910079051383399,4.0,1.44
-0.002900197628458498,4.4,1.52
-0.0028903162055335966,4.88,1.68
-0.0028804347826086956,5.36,1.84
