Time,CH1,CH2
-0.00375,5.4,-2.8
-0.003740118577075099,5.4,-2.8
-0.0037302371541501973,5.4,-2.8
-0.0037203557312252963,5.6,-2.8
-0.0037104743083003953,5.6,-2.8
-0.003700592885375494,5.6,-2.8
-0.0036907114624505927,5.6,-2.8
-0.0036808300395256917,5.6,-2.8
-0.0036709486166007902,5.6,-2.8
-0.003661067193675889,5.6,-2.8
-0.003651185770750988,5.4,-2.6
-0.0036413043478260867,5.4,-2.6
-0.0036314229249011856,5.2,-2.6
-0.0036215415019762846,5.0,-2.4
-0.003611660079051383,4.8,-2.4
-0.003601778656126482,4.6,-2.2
-0.003591897233201581,4.4,-2.2
-0.0035820158102766795,4.2,-2.0
-0.0035721343873517785,4.0,-2.0
-0.0035622529644268775,3.8,-1.8
-0.003552371541501976,3.4,-1.6
-0.003542490118577075,3.2,-1.6
-0.003532608695652174,2.8,-1.4
-0.0035227272727272724,2.6,-1.2
-0.0035128458498023714,2.2,-1.0
-0.0035029644268774703,1.8,-0.8
-0.003493083003952569,1.6,-0.6
-0.003483201581027668,1.2,-0.6
-0.0034733201581027668,1.0,-0.4
-0.0034634387351778653,0.6,-0.2
-0.0034535573122529643,0.2,0.0
-0.0034436758893280632,-0.2,0.2
-0.0034337944664031617,-0.4,0.4
-0.0034239130434782607,-0.8,0.6
-0.0034140316205533597,-1.2,0.8
-0.003404150197628458,-1.6,1.0
-0.003394268774703557,-1.8,1.0
-0.003384387351778656,-2.2,1.2
-0.0033745059288537546,-2.4,1.4
-0.0033646245059288536,-2.8,1.6
-0.0033547430830039525,-3.0,1.6
-0.003344861660079051,-3.4,1.8
-0.00333498023715415,-3.6,2.0
-0.003325098814229249,-3.8,2.0
-0.0033152173913043475,-4.2,2.2
-0.0033053359683794465,-4.4,2.4
-0.0032954545454545454,-4.6,2.4
-0.003285573122529644,-4.6,2.6
-0.003275691699604743,-4.8,2.6
-0.003265810276679842,-5.0,2.6
-0.003255928853754941,-5.2,2.8
-0.0032460474308300393,-5.2,2.8
-0.0032361660079051383,-5.2,2.8
-0.0032262845849802373,-5.4,2.8
-0.003216403162055336,-5.4,2.8
-0.0032065217391304347,-5.4,3.0
-0.0031966403162055337,-5.4,2.8
-0.0031867588932806322,-5.4,2.8
-0.003176877470355731,-5.4,2.8
-0.00316699604743083,-5.4,2.8
-0.0031571146245059287,-5.2,2.8
-0.0031472332015810276,-5.0,2.8
-0.0031373517786561266,-5.0,2.6
-0.003127470355731225,-4.8,2.4
-0.003117588932806324,-4.6,2.6
-0.003107707509881423,-4.4,2.4
-0.0030978260869565215,-4.2,2.2
-0.0030879446640316205,-4.0,2.2
-0.0030780632411067195,-3.8,2.0
-0.003068181818181818,-3.6,1.8
-0.003058300395256917,-3.2,1.6
-0.003048418972332016,-2.8,1.6
-0.0030385375494071144,-2.6,1.4
-0.0030286561264822134,-2.4,1.4
-0.0030187747035573123,-2.0,1.0
-0.003008893280632411,-1.8,1.0
-0.00299901185770751,-1.4,0.8
-0.002989130434782609,-1.0,0.6
-0.0029792490118577073,-0.6,0.4
-0.0029693675889328063,-0.4,0.2
-0.0029594861660079052,0.0,0.0
-0.0029496047430830038,0.4,-0.2
-0.0029397233201581027,0.8,-0.4
-0.0029298418972332017,1.0,-0.4
-0.0029199604743083,1.4,-0.6
-0.002910079051383399,1.8,-0.8
-0.002900197628458498,2.0,-1.0
-0.0028903162055335966,2.4,-1.2
-0.0028804347826086956,2.8,-1.2
-0.0028705533596837945,3.0,-1.4
-0.002860671936758893,3.4,-1.6
-0.002850790513833992,3.6,-1.8
-0.002840909090909091,3.8,-1.8
-0.0028310276679841895,4.0,-2.0
-0.0028211462450592885,4.4,-2.2
-0.0028112648221343874,4.6,-2.2
-0.002801383399209486,4.8,-2.2
-0.002791501976284585,5.0,-2.6
-0.002781620553359684,5.2,-2.4
-0.0027717391304347824,5.2,-2.6
-0.0027618577075098814,5.4,-2.8
-0.0027519762845849803,5.4,-2.8
-0.002742094861660079,5.6,-2.8
-0.002732213438735178,5.6,-2.8
-0.0027223320158102767,5.6,-2.8
-0.0027124505928853753,5.6,-2.8
-0.0027025691699604742,5.6,-2.8
-0.002692687747035573,5.6,-2.8
-0.0026828063241106717,5.6,-2.8
-0.0026729249011857707,5.6,-2.8
-0.0026630434782608696,5.4,-2.6
-0.002653162055335968,5.2,-2.6
-0.002643280632411067,5.2,-2.6
-0.002633399209486166,5.0,-2.4
-0.0026235177865612646,4.8,-2.4
-0.0026136363636363636,4.6,-2.4
-0.0026037549407114625,4.4,-2.2
-0.002593873517786561,4.2,-2.0
-0.00258399209486166,4.0,-2.0
-0.002574110671936759,3.8,-1.8
-0.0025642292490118575,3.4,-1.6
-0.0025543478260869564,3.2,-1.4
-0.0025444664031620554,2.8,-1.4
-0.002534584980237154,2.6,-1.2
-0.002524703557312253,2.2,-1.0
-0.002514822134387352,1.8,-1.0
-0.0025049407114624504,1.6,-0.6
-0.0024950592885375493,1.2,-0.6
-0.0024851778656126483,1.0,-0.4
-0.002475296442687747,0.6,-0.2
-0.0024654150197628458,0.2,0.0
-0.0024555335968379447,-0.2,0.2
-0.0024456521739130432,-0.4,0.4
-0.002435770750988142,-0.8,0.6
-0.002425889328063241,-1.2,0.6
-0.0024160079051383397,-1.4,1.0
-0.0024061264822134386,-1.8,1.0
-0.0023962450592885376,-2.2,1.2
-0.002386363636363636,-2.4,1.4
-0.002376482213438735,-2.8,1.6
-0.002366600790513834,-3.0,1.6
-0.0023567193675889326,-3.4,1.8
-0.0023468379446640315,-3.6,2.0
-0.0023369565217391305,-3.8,2.2
-0.002327075098814229,-4.2,2.2
-0.002317193675889328,-4.4,2.4
-0.002307312252964427,-4.6,2.4
-0.0022974308300395254,-4.6,2.6
-0.0022875494071146244,-4.8,2.6
-0.0022776679841897234,-5.0,2.6
-0.002267786561264822,-5.0,2.6
-0.002257905138339921,-5.2,2.8
-0.00224802371541502,-5.2,2.8
-0.0022381422924901183,-5.4,2.8
-0.0022282608695652173,-5.4,2.8
-0.0022183794466403162,-5.4,2.8
-0.0022084980237154148,-5.4,2.8
-0.0021986166007905137,-5.4,2.8
-0.0021887351778656127,-5.2,2.8
-0.002178853754940711,-5.2,2.8
-0.00216897233201581,-5.2,2.8
-0.002159090909090909,-5.0,2.8
-0.0021492094861660076,-5.0,2.6
-0.0021393280632411066,-4.8,2.6
-0.0021294466403162056,-4.6,2.4
-0.002119565217391304,-4.4,2.4
-0.002109683794466403,-4.2,2.2
-0.002099802371541502,-4.0,2.2
-0.0020899209486166005,-3.8,2.0
-0.0020800395256916995,-3.6,2.0
-0.0020701581027667984,-3.2,1.6
-0.002060276679841897,-3.0,1.6
-0.002050395256916996,-2.6,1.4
-0.002040513833992095,-2.2,1.2
-0.0020306324110671934,-2.0,1.2
-0.0020207509881422924,-1.8,1.0
-0.0020108695652173913,-1.4,0.8
-0.00200098814229249,-1.0,0.6
-0.001991106719367589,-0.8,0.4
-0.0019812252964426878,-0.4,0.2
-0.0019713438735177863,0.0,0.0
-0.0019614624505928852,0.4,-0.2
-0.001951581027667984,0.6,-0.2
-0.0019416996047430827,1.0,-0.4
-0.0019318181818181817,1.4,-0.6
-0.0019219367588932804,1.6,-0.8
-0.0019120553359683792,2.0,-1.0
-0.0019021739130434781,2.4,-1.2
-0.0018922924901185769,2.8,-1.2
-0.0018824110671936756,3.0,-1.4
-0.0018725296442687746,3.2,-1.6
-0.0018626482213438733,3.6,-1.8
-0.001852766798418972,4.0,-1.8
-0.001842885375494071,4.0,-2.0
-0.0018330039525691697,4.4,-2.2
-0.0018231225296442687,4.6,-2.2
-0.0018132411067193674,4.8,-2.4
-0.0018033596837944662,5.0,-2.4
-0.001793478260869565,5.2,-2.4
-0.0017835968379446639,5.2,-2.6
-0.0017737154150197628,5.2,-2.6
-0.0017638339920948614,5.4,-2.8
-0.0017539525691699603,5.6,-2.6
-0.0017440711462450593,5.6,-2.8
-0.0017341897233201578,5.6,-2.8
-0.0017243083003952568,5.6,-2.8
-0.0017144268774703557,5.6,-2.8
-0.0017045454545454542,5.6,-2.8
-0.0016946640316205532,5.6,-2.8
-0.0016847826086956522,5.6,-2.8
-0.0016749011857707507,5.4,-2.6
-0.0016650197628458496,5.2,-2.6
-0.0016551383399209486,5.2,-2.6
-0.0016452569169960471,5.0,-2.4
-0.001635375494071146,4.8,-2.4
-0.001625494071146245,4.6,-2.2
-0.0016156126482213436,4.4,-2.2
-0.0016057312252964425,4.2,-2.0
-0.0015958498023715415,4.0,-1.8
-0.00158596837944664,3.8,-1.8
-0.001576086956521739,3.6,-1.6
-0.001566205533596838,3.2,-1.4
-0.0015563241106719364,2.8,-1.4
-0.0015464426877470354,2.6,-1.2
-0.0015365612648221344,2.2,-1.0
-0.0015266798418972329,1.8,-0.8
-0.0015167984189723318,1.6,-0.6
-0.0015069169960474308,1.2,-0.6
-0.0014970355731225293,1.0,-0.4
-0.0014871541501976283,0.4,-0.2
-0.0014772727272727272,0.2,0.0
-0.0014673913043478258,-0.2,0.2
-0.0014575098814229247,-0.4,0.4
-0.0014476284584980237,-0.8,0.6
-0.0014377470355731222,-1.2,0.8
-0.0014278656126482212,-1.6,1.0
-0.0014179841897233201,-1.8,1.0
-0.0014081027667984186,-2.2,1.2
-0.0013982213438735176,-2.6,1.4
-0.0013883399209486166,-2.8,1.6
-0.001378458498023715,-3.0,1.8
-0.001368577075098814,-3.4,1.8
-0.001358695652173913,-3.6,2.0
-0.0013488142292490115,-4.0,2.0
-0.0013389328063241105,-4.2,2.2
-0.0013290513833992094,-4.4,2.4
-0.001319169960474308,-4.6,2.4
-0.001309288537549407,-4.6,2.6
-0.0012994071146245059,-4.8,2.6
-0.0012895256916996044,-5.0,2.8
-0.0012796442687747034,-5.2,2.8
-0.0012697628458498023,-5.2,2.8
-0.0012598814229249009,-5.2,2.8
-0.0012499999999999998,-5.4,2.8
-0.0012401185770750988,-5.4,2.8
-0.0012302371541501973,-5.4,2.8
-0.0012203557312252962,-5.4,2.8
-0.0012104743083003952,-5.4,3.0
-0.0012005928853754937,-5.2,2.8
-0.0011907114624505927,-5.2,2.8
-0.0011808300395256916,-5.2,2.8
-0.0011709486166007902,-5.0,2.6
-0.0011610671936758891,-4.8,2.6
-0.001151185770750988,-4.8,2.6
-0.0011413043478260866,-4.6,2.4
-0.0011314229249011856,-4.4,2.4
-0.0011215415019762845,-4.2,2.4
-0.001111660079051383,-4.0,2.2
-0.001101778656126482,-3.8,2.0
-0.001091897233201581,-3.6,2.0
-0.0010820158102766795,-3.2,1.6
-0.0010721343873517785,-3.0,1.6
-0.0010622529644268774,-2.6,1.4
-0.001052371541501976,-2.4,1.4
-0.001042490118577075,-2.0,1.2
-0.0010326086956521738,-1.8,1.0
-0.0010227272727272724,-1.4,0.8
-0.0010128458498023713,-1.0,0.6
-0.0010029644268774703,-0.8,0.4
-0.0009930830039525688,-0.2,0.2
