Time,CH1,CH2
-0.00375,2.8,7.4
-0.003740118577075099,2.8,7.4
-0.0037302371541501973,2.8,7.2
-0.0037203557312252963,2.8,6.8
-0.0037104743083003953,2.6,6.6
-0.003700592885375494,2.6,6.0
-0.0036907114624505927,2.6,5.6
-0.0036808300395256917,2.4,5.2
-0.0036709486166007902,2.4,4.8
-0.003661067193675889,2.2,4.2
-0.003651185770750988,2.2,3.8
-0.0036413043478260867,2.2,3.4
-0.0036314229249011856,2.0,2.8
-0.0036215415019762846,2.0,2.2
-0.003611660079051383,1.8,1.8
-0.003601778656126482,1.8,1.2
-0.003591897233201581,1.6,0.6
-0.0035820158102766795,1.6,0.0
-0.0035721343873517785,1.4,-0.4
-0.0035622529644268775,1.4,-1.0
-0.003552371541501976,1.2,-1.6
-0.003542490118577075,1.2,-2.2
-0.003532608695652174,1.2,-2.8
-0.0035227272727272724,1.0,-3.2
-0.0035128458498023714,0.8,-3.8
-0.0035029644268774703,0.8,-4.2
-0.003493083003952569,0.6,-4.8
-0.003483201581027668,0.6,-5.2
-0.0034733201581027668,0.6,-5.6
-0.0034634387351778653,0.6,-6.0
-0.0034535573122529643,0.4,-6.6
-0.0034436758893280632,0.4,-6.8
-0.0034337944664031617,0.4,-7.2
-0.0034239130434782607,0.2,-7.6
-0.0034140316205533597,0.2,-7.8
-0.003404150197628458,0.2,-8.0
-0.003394268774703557,0.2,-8.4
-0.003384387351778656,0.0,-8.4
-0.0033745059288537546,0.0,-8.6
-0.0033646245059288536,0.0,-8.8
-0.0033547430830039525,0.0,-8.8
-0.003344861660079051,0.0,-8.8
-0.00333498023715415,0.0,-8.8
-0.003325098814229249,0.0,-8.8
-0.0033152173913043475,0.0,-8.8
-0.0033053359683794465,0.0,-8.8
-0.0032954545454545454,0.0,-8.6
-0.003285573122529644,0.0,-8.6
-0.003275691699604743,0.2,-8.4
-0.003265810276679842,0.2,-8.0
-0.003255928853754941,0.2,-7.8
-0.0032460474308300393,0.2,-7.6
-0.0032361660079051383,0.2,-7.2
-0.0032262845849802373,0.4,-6.8
-0.003216403162055336,0.4,-6.4
-0.0032065217391304347,0.6,-6.0
-0.0031966403162055337,0.6,-5.8
-0.0031867588932806322,0.6,-5.2
-0.003176877470355731,0.6,-4.8
-0.00316699604743083,0.8,-4.2
-0.0031571146245059287,0.8,-3.8
-0.0031472332015810276,1.0,-3.4
-0.0031373517786561266,1.0,-2.8
-0.003127470355731225,1.2,-2.2
-0.003117588932806324,1.2,-1.6
-0.003107707509881423,1.4,-1.0
-0.0030978260869565215,1.4,-0.6
-0.0030879446640316205,1.6,0.0
-0.0030780632411067195,1.6,0.6
-0.003068181818181818,1.8,1.2
-0.003058300395256917,1.8,1.6
-0.003048418972332016,2.0,2.2
-0.0030385375494071144,2.0,2.8
-0.0030286561264822134,2.0,3.4
-0.0030187747035573123,2.2,3.8
-0.003008893280632411,2.2,4.4
-0.00299901185770751,2.4,4.8
-0.002989130434782609,2.4,5.2
-0.0029792490118577073,2.6,5.6
-0.0029693675889328063,2.6,6.2
-0.0029594861660079052,2.6,6.4
-0.0029496047430830038,2.6,6.8
-0.0029397233201581027,2.8,7.2
-0.0029298418972332017,2.8,7.4
-0.0029199604743083,2.8,7.8
-0.002910079051383399,2.8,8.0
-0.002900197628458498,3.0,8.2
-0.0028903162055335966,3.0,8.4
-0.0028804347826086956,3.0,8.6
-0.0028705533596837945,3.0,8.6
-0.002860671936758893,3.0,8.8
-0.002850790513833992,3.0,8.8
-0.002840909090909091,3.2,8.8
-0.0028310276679841895,3.0,8.8
-0.0028211462450592885,3.0,8.8
-0.0028112648221343874,3.0,8.6
-0.002801383399209486,3.0,8.6
-0.002791501976284585,3.0,8.4
-0.002781620553359684,3.0,8.2
-0.0027717391304347824,2.8,8.0
-0.0027618577075098814,2.8,7.8
-0.0027519762845849803,2.8,7.4
-0.002742094861660079,2.8,7.2
-0.002732213438735178,2.8,6.8
-0.0027223320158102767,2.6,6.4
-0.0027124505928853753,2.6,6.0
-0.0027025691699604742,2.6,5.6
-0.002692687747035573,2.4,5.2
-0.0026828063241106717,2.4,4.8
-0.0026729249011857707,2.2,4.2
-0.0026630434782608696,2.2,3.8
-0.002653162055335968,2.0,3.2
-0.002643280632411067,2.0,2.8
-0.002633399209486166,1.8,2.2
-0.0026235177865612646,1.8,1.6
-0.0026136363636363636,1.6,1.2
-0.0026037549407114625,1.6,0.6
-0.002593873517786561,1.6,0.0
-0.00258399209486166,1.4,-0.6
-0.002574110671936759,1.4,-1.0
-0.0025642292490118575,1.2,-1.6
-0.0025543478260869564,1.2,-2.2
-0.0025444664031620554,1.0,-2.8
