t,U
0, 	-5.785
10, 	-5.784
20, 	-5.766
30, 	-5.757
40, 	-5.749
50, 	-5.740
60, 	-5.732
70, 	-5.725
80, 	-5.717
90, 	-5.710
100, 	-5.703
110, 	-5.697
120, 	-5.691
130, 	-5.685
140, 	-5.680
150, 	-5.675
160, 	-5.670
170, 	-5.666
180, 	-5.661
190, 	-5.658
200, 	-5.654
210, 	-5.650
220, 	-5.647
230, 	-5.643
240, 	-5.640
250, 	-5.637
260, 	-5.634
270, 	-5.631
280, 	-5.628
290, 	-5.625
300, 	-5.622
310, 	-5.620
320, 	-5.617
330, 	-5.614
340, 	-5.611
350, 	-5.609
360, 	-5.606
370, 	-5.604
380, 	-5.600
390, 	-5.598
400, 	-5.595
410, 	-5.593
420, 	-5.591
430, 	-5.589
440, 	-5.586
450, 	-5.583
460, 	-5.581
470, 	-5.579
480, 	-5.576
490, 	-5.574
500, 	-5.571
510, 	-5.569
520, 	-5.566
530, 	-5.564
540, 	-5.562
550, 	-5.559
560, 	-5.557
570, 	-5.555
580, 	-5.552
590, 	-5.550
600, 	-5.547
610, 	-5.545
620, 	-5.543
630, 	-5.540
640, 	-5.538
650, 	-5.535
660, 	-5.533
670, 	-5.530
680, 	-5.527
690, 	-5.525
700, 	-5.523
710, 	-5.520
720, 	-5.517
730, 	-5.515
740, 	-5.512
750, 	-5.510
760, 	-5.507
770, 	-5.505
780, 	-5.503
790, 	-5.500
800, 	-5.497
810, 	-5.495
820, 	-5.492
830, 	-5.490
840, 	-5.487
850, 	-5.485
860, 	-5.482
870, 	-5.479
880, 	-5.476
890, 	-5.475
900, 	-5.472
910, 	-5.469
920, 	-5.467
930, 	-5.464
940, 	-5.462
950, 	-5.459
960, 	-5.457
970, 	-5.454
980, 	-5.452
990, 	-5.449
1000, 	-5.447
1010, 	-5.444
1020, 	-5.442
1030, 	-5.440
1040, 	-5.437
1050, 	-5.435
1060, 	-5.432
1070, 	-5.430
1080, 	-5.428
1090, 	-5.425
1100, 	-5.423
1110, 	-5.420
1120, 	-5.418
1130, 	-5.415
1140, 	-5.412
1150, 	-5.410
1160, 	-5.408
1170, 	-5.406
1180, 	-5.403
1190, 	-5.402
1200, 	-5.399
1210, 	-5.397
1220, 	-5.394
1230, 	-5.392
1240, 	-5.389
1250, 	-5.387
1260, 	-5.385
1270, 	-5.382
1280, 	-5.380
1290, 	-5.378
1300, 	-5.376
1310, 	-5.373
1320, 	-5.371
1330, 	-5.369
1340, 	-5.367
1350, 	-5.364
1360, 	-5.361
1370, 	-5.360
1380, 	-5.357
1390, 	-5.354
1400, 	-5.352
1410, 	-5.350
1420, 	-5.347
1430, 	-5.345
1440, 	-5.343
1450, 	-5.340
1460, 	-5.338
1470, 	-5.336
1480, 	-5.334
1490, 	-5.332
1500, 	-5.330
1510, 	-5.327
1520, 	-5.323
1530, 	-5.322
1540, 	-5.319
1550, 	-5.317
1560, 	-5.314
